house_id;adress;description;photo;cost_per_day;capacity;is_available
1;Мясницкая ул., 86;Уютный домик с камином в окружении лесов, идеальный для семейного отдыха.;https://fullhousedesign.ru/wp-content/uploads/2018/01/DDHaubaus_Honka_-MednoeOz.jpg;4000;4;1
2;Овчинниковская наб., 17 стр1;Современный коттедж с панорамным видом на озеро, для тех, кто ценит комфорт и природу.;https://mfc.ivanovoobl.ru/upload/iblock/8a2/2lea2dd4m0237xvdvqrprzro263d4m2d/1.jpg;8000;8;1
3;Монетчиковский пер., 31;Просторная вилла с бассейном и садом, идеальная для шумных вечеринок и летнего отдыха.;https://i.pinimg.com/736x/51/47/10/514710aab94359320689db7ffec1cf04.jpg;4000;4;1
4;Овчинниковская наб., 58 стр1;Тихий домик в деревне с просторным садом, где можно насладиться спокойствием.;https://shop.mobilestore13.ru/image/catalog/categories/home.jpg;6000;6;0
5;Чистый пер., 39;Романтический шале в горах, с видом на заснеженные вершины, для любителей зимнего отдыха.;https://static.coolhouses.ru/images/10.2017/zagorodnyy-dom-iz-brusa-v-sosnovom-lesu-rossiya-6.jpg;3000;2;1
6;Овчинниковская наб., 7 стр1;Стильный дом с террасой и видом на поле, где можно наслаждаться закатами.;https://mig.pics/uploads/posts/2020-03/1584194725_9-p-krasivii-dizain-nebolshikh-zagorodnikh-dom-26.jpg;4000;4;0
7;Новый Арбат ул., 82;Уединенный коттедж на берегу реки с собственной лодкой, для любителей уединения.;https://houses.ru/upload/medialibrary/8bf/paysage01.jpg;6000;6;0
8;Климентовский пер., 42;Домашний очаг с камином и просторной гостиной, где можно собраться всей семьей.;https://www.noviydom.ru/upload/images/statyi/dom_hi-tech/4.jpg;3000;2;0
9;Монетчиковский пер., 95;Дом с садом и огородом, для тех, кто любит выращивать свои овощи и фрукты.;https://idei.club/raznoe/uploads/posts/2023-06/1685660084_idei-club-p-krasivie-doma-podmoskovya-39.jpg;4000;4;1
10;Пречистенский пер., 13;Домик в стиле прованс с уютными балконами и видом на лавандовые поля.;https://yarkrov.ru/wp-content/uploads/2021/01/foto-dvuhehtazhnogo-doma_05.jpg;4000;4;1
11;Гагаринский пер., 94;Современный дом с минималистичным дизайном и просторными окнами, пропускающими максимум света.;https://avatars.mds.yandex.net/get-ydo/4012172/2a0000017aa99f70c065f1ae331ea717433c/diploma;5000;5;1
12;Мясницкая ул., 61;Дом с большой верандой, где можно проводить вечера с друзьями, наслаждаясь свежестью.;https://avatars.mds.yandex.net/get-altay/2930751/2a00000173a3a29ca91298c4160195e8a8ed/orig;15000;10;1
13;Овчинниковская наб., 80 стр1;Домик в лесу с очаровательной лужайкой, где можно устроить пикник.;https://www.zagorod.ru/u/docs/file/mednoe2.jpg;10000;6;0
14;Монетчиковский пер., 27;Дом с крышей, покрытой соломой, придающий ему деревенский шарм.;https://avatars.mds.yandex.net/get-ydo/1523397/2a0000016c19c6db76af4a8b2c902530e63b/diploma;8500;5;1
15;Малый Черкасский пер., 61;Домик с красивым балконом, с которого открывается вид на живописные окрестности.;https://s0.rbk.ru/rbcplus_pics/media/img/0/32/805639624002320.jpg;9000;5;0
16;Хрущевский пер., 40;Дом с отделкой из натурального камня, создающий атмосферу тепла и уюта.;https://www.unimart24.ru/upload/iblock/cc5/9jyraib8582ezyyz6krlilz16bupw3ki.jpg;20000;12;0
17;ул. Остоженка, 47;Домик с сауной, где можно расслабиться после активного отдыха на природе.;https://i.pinimg.com/736x/b5/e6/99/b5e699f244576746da1305db0f1df6d2.jpg;7000;8;1
18;Мясницкая ул., 7;Дом с просторной кухней, где можно устраивать кулинарные вечера с друзьями.;https://i.pinimg.com/originals/00/10/85/001085deb52cc0760fa1b927eef8420b.jpg;4500;3;1
19;Кропоткинский пер., 49;Домик с подвалом, где можно хранить вина, продукты или оборудование для хобби.;https://www.gwd.ru/upload/iblock/314/31414ff9e329c933b565fffa1f814ce4.jpg;2500;2;1
20;Малый Черкасский пер., 21;Дом с гаражом, где можно хранить машину.;https://avatars.mds.yandex.net/get-ydo/1384592/2a00000174c1bad6add006ffb81adaf6d358/diploma;6000;4;1
